Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
conferencePaper,2017,"Rodrigues, Nils; Netzel, Rudolf; Ullah, Kazi Riaz; Burch, Michael; Schultz, Alexander; Burger, Bruno; Weiskopf, Daniel",Visualization of Time Series Data with Spatial Context: Communicating the Energy Production of Power Plants,Proceedings of the 10th International Symposium on Visual Information Communication and Interaction,978-1-4503-5292-5,,10.1145/3105971.3105982,https://doi.org/10.1145/3105971.3105982,"Visualizing time series data with a spatial context is a problem that appears more and more often, since small and lightweight GPS devices allow us to enrich the time series data with position information. One example is the visualization of the energy output of power plants. We present a web-based application that aims to provide information about the energy production of a specified region, along with location information about the power plants. The application is intended to be used as a solid data basis for political discussions, nudging, and story telling about the German energy transition to renewables, called ""Energiewende"". It was therefore designed to be intuitive, easy to use, and provide information for a broad spectrum of users that do not need any domain-specific knowledge. Users are able to select different categories of power plants and look up their positions on an overview map. Glyphs indicate their exact positions and a selection mechanism allows users to compare the power output on different time scales using stacked area charts or ThemeRivers. As an evaluation of the application, we have collected web access statistics and conducted an online survey with respect to the intuitiveness, usability, and informativeness.",2017,8/19/2020 6:59,8/19/2020 6:59,,37–44,,,,,,,VINCI '17,,,,Association for Computing Machinery,"New York, NY, USA",,,,,,,,,,,,exploratory data analysis; geographic visualization; time series data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conferencePaper,2017,"Li, Jiaxue; Song, Wei; Fong, Simon",Real-Time Analysis and Visualization for Big Data of Energy Consumption,Proceedings of the 2017 International Conference on Software and E-Business,978-1-4503-5488-2,,10.1145/3178212.3178229,https://doi.org/10.1145/3178212.3178229,"This paper proposes a research on real-time analysis and visualization for big data of energy consumption. In this research, we access real-time energy consumption data from cloud storage by a Transmission Control Protocol/Internet Protocol (TCP/IP). In order to optimize K-Means clustering algorithm, we implement CUDA C programming to finish data-intensive calculation in the Graphic Processing Unit (GPU), which enhances the efficiency of analysis for big data of energy consumption. Meanwhile, to realize data visualization, we draw the data mining results in a multidimensional plane utilizing DirectX, which is a standard graphics API. We also render the original energy consumption data directly in the form of four-dimensional geometry with the plane together, so as to obtain more useful information intuitively.",2017,8/19/2020 6:59,8/19/2020 6:59,,13–16,,,,,,,ICSEB 2017,,,,Association for Computing Machinery,"New York, NY, USA",,,,,,,,,,,,big data; energy consumption; CUDA; DirectX; K-Means,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conferencePaper,2019,"Hamza-Lup, Felix G; Su, Hongjun; Wissing, Coby",Web-Enabled Software for Real-Time Autonomous Wireless Sensors Data Visualization,Proceedings of the International Conference on Industrial Control Network and System Engineering Research,978-1-4503-6627-4,,10.1145/3333581.3333594,https://doi.org/10.1145/3333581.3333594,"Real-time autonomous wireless sensors must provide information that is both accurate and timely. With the widespread of IoT, a myriad of sensors are producing a large quantity of numeric data. Still, as users, we are inclined to consume data that has been processed and displayed as visual information in order to facilitate decision processes.Web standards have evolved significantly over the past decade with X3D being adopted as an open ISO standard for Web3D. X3D and associated extensions like WebGL allows web-enabled visualization and facilitates remote collaboration.In this paper, we present a software architecture that allows data collection from IoT sensors, data processing and an interactive Web-enabled 3D visualization using the X3D standard for soft real-time systems. We also discuss the potential applications of such a system in several domains.",2019,8/19/2020 6:59,8/19/2020 6:59,,70–74,,,,,,,ICNSER2019,,,,Association for Computing Machinery,"New York, NY, USA",,,,,,,,,,,,data visualization; Real-time sensors; real-time software; Web3D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conferencePaper,2017,"Costa, Carlos; Santos, Maribel Yasmina",The SusCity Big Data Warehousing Approach for Smart Cities,Proceedings of the 21st International Database Engineering & Applications Symposium,978-1-4503-5220-8,,10.1145/3105831.3105841,https://doi.org/10.1145/3105831.3105841,"Nowadays, the concept of Smart City provides a rich analytical context, highlighting the need to store and process vast amounts of heterogeneous data flowing at different velocities. This data is defined as Big Data, which imposes significant difficulties in traditional data techniques and technologies. Data Warehouses (DWs) have long been recognized as a fundamental enterprise asset, providing fact-based decision support for several organizations. The concept of DW is evolving. Traditionally, Relational Database Management Systems (RDBMSs) are used to store historical data, providing different analytical perspectives regarding several business processes. With the current advancements in Big Data techniques and technologies, the concept of Big Data Warehouse (BDW) emerges to surpass several limitations of traditional DWs. This paper presents a novel approach for designing and implementing BDWs, which has been supporting the SusCity data visualization platform. The BDW is a crucial component of the SusCity research project in the context of Smart Cities, supporting analytical tasks based on data collected in the city of Lisbon.",2017,8/19/2020 6:59,8/19/2020 6:59,,264–273,,,,,,,IDEAS 2017,,,,Association for Computing Machinery,"New York, NY, USA",,,,,,,,,,,,Big Data; Big Data Warehousing; Data Warehouse; Hadoop; NoSQL; Smart Cities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conferencePaper,2015,"Hall, Peter; Heath, Claude; Coles-Kemp, Lizzie; Tanner, Axel",Examining the Contribution of Critical Visualisation to Information Security,Proceedings of the 2015 New Security Paradigms Workshop,978-1-4503-3754-0,,10.1145/2841113.2841118,https://doi.org/10.1145/2841113.2841118,"This paper examines the use of visualisations in the field of information security and in particular focuses on the practice of information security risk assessment. We examine the current roles of information security visualisations and place these roles in the wider information visualisation discourse. We present an analytic lens which divides visualisations into three categories: journalistic, scientific and critical visualisations. We then present a case study that uses these three categories of visualisations to further support information security practice.Two significant results emerge from this case study: (1) visualisations that promote critical thinking and reflection (a form of critical visualisation) support the multi-stakeholder nature of risk assessment and (2) a preparatory stage in risk assessment is sometimes needed by service designers in order to establish the service design before conducting a formal risk assessment.The reader is invited to explore the images in the digital version of this paper where they can zoom in to particular aspects of the images and view the images in colour.",2015,8/19/2020 6:59,8/19/2020 6:59,,59–72,,,,,,,NSPW '15,,,,Association for Computing Machinery,"New York, NY, USA",,,,,,,,,,,,design; critical discourse; cultural studies; design research methods; humanities; risk assessment; Visualisation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conferencePaper,2018,"Xicheng, Qian; Jingchang, Pan; Ganyu, Jiang",Design and Implementation of Network Visualization for Modern Chinese Words,Proceedings of the 2nd International Conference on Big Data Research,978-1-4503-6476-8,,10.1145/3291801.3291809,https://doi.org/10.1145/3291801.3291809,"Data visualization is a visual representation of data. It can display the complex data in a graphical representation to allow users to observe the data and obtain the information they need from the observation of the human eye. The networking of Chinese words also requires visualization. Visualizing the relationship between Chinese words is essentially a visualization of the semantic structure of Chinese words. In the display of a large number of Chinese words' semantic structure, we can see the general distribution of Chinese words in the range we use.In this paper, the structure of Chinese word network is visualized based on the Chinese word network built in Research of Chinese Word Knowledge Graph Based on SLPA Algorithm.",2018,8/19/2020 6:59,8/19/2020 6:59,,154–157,,,,,,,ICBDR 2018,,,,Association for Computing Machinery,"New York, NY, USA",,,,,,,,,,,,data visualization; Chinese words; Semantic structure; Word network,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
journalArticle,2011,"Agrawala, Maneesh; Li, Wilmot; Berthouzoz, Floraine",Design Principles for Visual Communication,Commun. ACM,,0001-0782,10.1145/1924421.1924439,https://doi.org/10.1145/1924421.1924439,"How to identify, instantiate, and evaluate domain-specific design principles for creating more effective visualizations.",2011-04,8/19/2020 6:59,8/19/2020 6:59,,60–69,,4,54,,,,,,,,,,,,,,,,,"Place: New York, NY, USA Publisher: Association for Computing Machinery",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
journalArticle,2019,"Habibzadeh, Hadi; Kaptan, Cem; Soyata, Tolga; Kantarci, Burak; Boukerche, Azzedine",Smart City System Design: A Comprehensive Study of the Application and Data Planes,ACM Comput. Surv.,,0360-0300,10.1145/3309545,https://doi.org/10.1145/3309545,"Recent global smart city efforts resemble the establishment of electricity networks when electricity was first invented, which meant the start of a new era to sell electricity as a utility. A century later, in the smart era, the network to deliver services goes far beyond a single entity like electricity. Supplemented by a well-established Internet infrastructure that can run an endless number of applications, abundant processing and storage capabilities of clouds, resilient edge computing, and sophisticated data analysis like machine learning and deep learning, an already-booming Internet of Things movement makes this new era far more exciting.In this article, we present a multi-faceted survey of machine intelligence in modern implementations. We partition smart city infrastructure into application, sensing, communication, security, and data planes and put an emphasis on the data plane as the mainstay of computing and data storage. We investigate (i) a centralized and distributed implementation of data plane's physical infrastructure and (ii) a complementary application of data analytics, machine learning, deep learning, and data visualization to implement robust machine intelligence in a smart city software core. We finalize our article with pointers to open issues and challenges.",2019-05,8/19/2020 6:59,8/19/2020 6:59,,,,2,52,,,,,,,,,,,,,,,,,"Place: New York, NY, USA Publisher: Association for Computing Machinery",,,,big data; and prescriptive analytics; Crowdsensing; cybersecurity; data science; deep learning; diagnostic; edge-computing; mobile computing; predictive; smart sustainable cities; supervised learning; unsupervised learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conferencePaper,2018,"Misailidis, Elias; Charitopoulos, Angelos; Rangoussi, Maria",Visualization of Educational Data Mined from the Moodle E-Learning Platform,Proceedings of the 22nd Pan-Hellenic Conference on Informatics,978-1-4503-6610-6,,10.1145/3291533.3291568,https://doi.org/10.1145/3291533.3291568,"Educational data, collected when learners interact with an e-learning platform and stored in the platform databases, are sources of valuable information for the improvement of the educational process, of the learning outcomes and of the learning experience. Data visualization is a domain that has received considerable attention recently, in connection to the Data Mining paradigm. The visualization of educational data mined from e-learning platforms and analyzed to extract answers to research questions or models for student behavior is an open and challenging task. This paper presents the design, development and use of a new plug-in for the visualization of student evaluation data drawn from a moodle platform. The new plug-in is embedded in an active, operational moodle server, with satisfactory visualization results obtained on real-field undergraduate student data collected over the period of the last three academic years.",2018,8/19/2020 6:59,8/19/2020 6:59,,82–87,,,,,,,PCI '18,,,,Association for Computing Machinery,"New York, NY, USA",,,,,,,,,,,,data visualization; e-learning platform; educational data mining; grading; moodle; plug-in; student evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conferencePaper,2020,"Gorkovenko, Katerina; Burnett, Daniel J; Thorp, James K; Richards, Daniel; Murray-Rust, Dave",Exploring The Future of Data-Driven Product Design,Proceedings of the 2020 CHI Conference on Human Factors in Computing Systems,978-1-4503-6708-0,,10.1145/3313831.3376560,https://doi.org/10.1145/3313831.3376560,"Connected devices present new opportunities to advance design through data collection in the wild, similar to the way digital services evolve through analytics. However, it is still unclear how live data transmitted by connected devices informs the design of these products, going beyond performance optimisation to support creative practices. Design can be enriched by data captured by connected devices, from usage logs to environmental sensors, and data about the devices and people around them. Through a series of workshops, this paper contributes industry and academia perspectives on the future of data-driven product design. We highlight HCI challenges, issues and implications, including sensemaking and the generation of design insight. We further challenge current notions of data-driven design and envision ways in which future HCI research can develop ways to work with data in the design process in a connected, rich, human manner.",2020,8/19/2020 6:59,8/19/2020 6:59,,1–14,,,,,,,CHI '20,,,,Association for Computing Machinery,"New York, NY, USA",,,,,,,,,,,,data-driven design; design research; human-centred design; in the wild; iot; smart devices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
journalArticle,2020,"Jiang, Jie; Pozza, Riccardo; Gilbert, Nigel; Moessner, Klaus",MakeSense: An IoT Testbed for Social Research of Indoor Activities,ACM Trans. Internet Things,,2691-1914,10.1145/3381914,https://doi.org/10.1145/3381914,"There has been increasing interest in deploying Internet of Things (IoT) devices to study human behavior in locations such as homes and offices. Such devices can be deployed in a laboratory or “in the wild” in natural environments. The latter allows one to collect behavioral data that is not contaminated by the artificiality of a laboratory experiment. Using IoT devices in ordinary environments also brings the benefits of reduced cost, as compared with lab experiments, and less disturbance to the participants' daily routines, which in turn helps with recruiting them into the research. However, in this case, it is essential to have an IoT infrastructure that can be easily and swiftly installed and from which real-time data can be securely and straightforwardly collected. In this article, we present MakeSense, an IoT testbed that enables real-world experimentation for large-scale social research on indoor activities through real-time monitoring and/or situation-aware applications. The testbed features quick setup, flexibility in deployment, the integration of a range of IoT devices, resilience, and scalability. We also present two case studies to demonstrate the use of the testbed: one in homes and one in offices.",2020-06,8/19/2020 6:59,8/19/2020 6:59,,,,3,1,,,,,,,,,,,,,,,,,"Place: New York, NY, USA Publisher: Association for Computing Machinery",,,,home activities; Internet of things; social research; testbed; work environment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
